[['E', 'V', 'A', 'N', 'S'], ['S', '.', 'O', 'N', 'C'], ['C', 'A', 'N', 'E', 'E'], ['H', 'E', 'I', '.', 'M'], ['E', 'R', 'E', 'D', 'E']]
[['D', 'O', 'M', 'U', 'S'], ['U', '.', 'A', 'D', 'C'], ['M', 'A', 'N', 'C', 'A'], ['B', 'I', 'C', '.', 'V'], ['O', 'T', 'E', 'R', 'O']]
[['A', 'M', 'I', 'L', 'E'], ['E', 'X', 'T', 'R', 'A'], ['R', '.', 'A', '.', 'M'], ['E', 'O', 'L', 'I', 'E'], ['A', 'D', 'A', 'M', 'S']]
[['T', 'A', 'M', '.', 'M'], ['U', 'T', 'I', 'C', 'A'], ['R', 'E', 'L', 'A', 'X'], ['P', 'A', 'N', 'N', 'I'], ['I', '.', 'E', 'A', 'M']]
[['.', 'X', 'E', 'N', 'O'], ['S', 'E', 'L', 'I', 'M'], ['O', 'R', 'I', 'G', 'E'], ['R', 'O', 'D', 'E', 'I'], ['A', 'X', 'E', 'L', '.']]
[['P', '.', 'C', 'E', 'E'], ['A', 'M', 'I', 'C', 'I'], ['R', 'I', 'E', 'H', 'L'], ['T', 'A', 'L', 'I', 'A'], ['O', 'O', 'O', '.', 'T']]
[['.', 'T', 'R', 'A', 'S'], ['E', 'R', 'O', 'S', 'E'], ['R', 'A', 'D', 'O', 'N'], ['M', 'I', 'E', 'L', 'I'], ['A', 'N', 'O', 'A', '.']]
[['T', '.', 'E', 'M', 'E'], ['A', 'N', 'N', 'A', 'M'], ['P', 'I', 'N', 'U', 'P'], ['S', 'C', 'U', 'D', 'I'], ['O', 'O', 'I', '.', 'O']]
[['F', 'N', '.', 'T', 'G'], ['L', 'E', 'N', 'I', 'N'], ['O', 'M', 'A', 'R', 'O'], ['S', 'B', 'O', 'O', 'M'], ['S', 'O', '.', 'S', 'I']]
[['J', 'O', 'I', 'N', 'T'], ['I', 'B', 'S', 'E', 'N'], ['.', 'L', 'T', 'T', '.'], ['F', 'I', 'A', 'T', 'O'], ['B', 'O', 'R', 'I', 'A']]
[['L', 'E', 'A', 'L', 'E'], ['E', 'T', 'T', 'O', '.'], ['O', 'A', 'T', 'E', 'S'], ['.', 'N', 'I', 'S', 'O'], ['F', 'I', 'S', 'S', 'I']]
[['M', 'A', 'S', 'C', 'I'], ['E', 'L', 'M', 'I', '.'], ['L', 'O', 'I', 'R', 'E'], ['.', 'S', 'T', 'I', 'A'], ['M', 'A', 'H', 'O', 'N']]
[['A', 'N', 'T', '.', 'P'], ['S', 'O', 'R', 'E', 'L'], ['S', 'C', 'U', 'S', 'E'], ['A', 'S', 'S', 'A', 'B'], ['D', '.', 'T', 'U', 'E']]
[['L', 'I', 'E', 'T', 'E'], ['I', 'S', 'M', '.', 'T'], ['S', 'T', 'E', 'R', 'N'], ['Z', '.', 'R', 'I', 'I'], ['T', 'A', 'I', 'G', 'A']]
[['L', 'A', 'I', 'L', 'A'], ['E', 'H', 'M', '.', 'R'], ['G', 'A', 'E', 'T', 'A'], ['G', '.', 'R', 'E', 'T'], ['I', 'R', 'A', 'D', 'E']]
[['Z', 'U', 'A', 'V', 'I'], ['I', 'P', 'S', 'O', '.'], ['P', 'U', 'T', 'I', 'N'], ['.', 'P', 'E', 'L', 'O'], ['S', 'A', 'R', 'A', 'N']]
[['P', 'O', 'L', 'I', 'S'], ['.', 'B', 'U', 'N', 'A'], ['L', 'A', 'N', 'D', 'E'], ['A', 'M', 'A', 'R', '.'], ['B', 'A', 'R', 'I', 'O']]
[['M', 'U', 'T', 'I', 'S'], ['O', '.', 'E', 'N', 'C'], ['D', 'A', 'N', 'N', 'O'], ['U', 'T', 'E', '.', 'O'], ['S', 'E', 'T', 'U', 'P']]
[['W', 'E', 'S', 'T', '.'], ['E', 'L', 'I', 'O', 'T'], ['I', 'V', 'A', 'N', 'O'], ['L', 'I', 'N', 'E', 'R'], ['.', 'S', 'I', 'R', 'E']]
[['I', 'A', 'F', 'E', 'T'], ['S', 'N', 'R', '.', 'R'], ['T', 'I', 'E', 'R', 'I'], ['M', '.', 'G', 'E', 'T'], ['I', 'B', 'E', 'R', 'O']]
[['B', 'J', '.', 'M', 'J'], ['A', 'A', 'R', 'A', 'U'], ['S', 'H', 'E', 'L', 'L'], ['S', 'V', 'E', 'V', 'I'], ['E', 'E', '.', 'A', 'O']]
[['S', 'O', 'F', 'I', 'A'], ['A', 'T', 'R', '.', 'S'], ['L', 'E', 'E', 'D', 'S'], ['C', '.', 'S', 'D', 'A'], ['E', 'R', 'A', 'R', 'I']]
[['V', 'E', 'R', 'O', 'N'], ['U', 'T', 'E', 'R', 'O'], ['O', 'N', '.', 'A', 'R'], ['T', 'E', 'T', 'R', 'I'], ['O', 'A', 'S', 'I', 'S']]
[['S', 'T', 'R', 'I', 'A'], ['C', 'E', 'O', '.', 'I'], ['U', 'L', 'A', 'N', 'O'], ['S', '.', 'N', 'E', 'L'], ['I', 'R', 'A', 'T', 'E']]
[['R', 'A', 'G', 'A', 'S'], ['W', 'A', 'N', 'N', 'A'], ['.', 'R', 'O', 'T', '.'], ['W', 'O', 'M', 'A', 'N'], ['O', 'N', 'O', 'R', 'I']]
[['D', 'R', 'U', 'S', 'A'], ['H', 'E', 'R', 'T', 'A'], ['.', 'N', 'A', 'A', '.'], ['M', 'I', 'L', 'N', 'E'], ['I', 'O', 'I', 'D', 'E']]
[['G', 'E', '.', 'V', 'T'], ['A', 'T', 'R', 'I', 'O'], ['L', 'E', 'G', 'E', 'R'], ['O', 'R', 'A', 'T', 'A'], ['P', 'I', '.', 'E', 'H']]
[['M', 'O', 'O', 'R', 'E'], ['C', 'I', 'B', 'O', '.'], ['E', 'D', 'O', 'N', 'I'], ['.', 'I', 'L', 'I', 'O'], ['P', 'O', 'I', 'N', 'T']]
[['S', 'M', 'A', 'S', 'H'], ['E', 'R', 'E', '.', 'O'], ['A', 'T', 'R', 'I', 'O'], ['L', '.', 'E', 'D', 'C'], ['S', 'H', 'O', 'A', 'H']]
[['P', 'I', 'N', 'U', 'P'], ['I', '.', 'E', 'H', 'I'], ['C', 'O', 'R', 'F', 'U'], ['C', 'L', 'V', '.', 'M'], ['O', 'P', 'I', 'M', 'E']]
[['F', 'O', 'L', 'A', '.'], ['I', 'R', 'A', 'T', 'E'], ['F', 'A', 'L', 'L', 'O'], ['A', 'L', 'L', 'A', 'N'], ['.', 'I', 'A', 'S', 'I']]
[['L', 'A', 'S', 'A', '.'], ['U', 'S', 'U', 'R', 'E'], ['I', 'S', 'O', 'L', 'A'], ['S', 'A', 'L', 'E', 'S'], ['.', 'M', 'A', 'S', 'T']]
[['R', '.', 'K', 'K', 'K'], ['O', 'V', 'A', 'I', 'E'], ['M', 'I', 'S', 'S', 'A'], ['P', 'A', 'B', 'S', 'T'], ['I', 'N', 'A', '.', 'S']]
[['E', '.', 'C', 'P', 'S'], ['S', 'B', 'O', 'O', 'M'], ['I', 'E', 'L', 'L', 'A'], ['T', 'R', 'O', 'L', 'L'], ['I', 'T', 'N', '.', 'L']]
[['P', 'R', 'A', 'G', 'A'], ['N', 'O', 'M', 'A', '.'], ['M', 'A', 'M', 'B', 'O'], ['.', 'N', 'A', 'O', 'S'], ['N', 'I', 'N', 'N', 'I']]
[['.', 'P', 'U', 'L', 'A'], ['T', 'O', 'N', 'E', 'R'], ['A', 'D', 'I', 'O', 'S'], ['R', 'I', 'O', 'N', 'I'], ['I', 'O', 'N', 'E', '.']]
[['C', 'A', 'L', 'C', 'I'], ['H', 'H', '.', 'A', 'B'], ['I', 'M', 'E', 'N', 'E'], ['M', 'E', '.', 'O', 'R'], ['O', 'D', 'I', 'N', 'O']]
[['A', 'E', 'R', 'E', 'E'], ['L', 'M', '.', 'A', 'L'], ['E', 'D', 'E', 'M', 'I'], ['X', 'E', '.', 'O', 'S'], ['A', 'N', 'O', 'N', 'A']]
[['J', 'T', '.', 'S', 'T'], ['I', 'R', 'A', 'T', 'I'], ['M', 'I', 'U', 'R', 'A'], ['M', 'A', 'C', 'I', 'S'], ['Y', 'S', '.', 'E', 'O']]
[['I', 'O', 'I', 'D', 'E'], ['C', 'N', 'L', '.', 'P'], ['A', 'G', 'O', 'N', 'I'], ['R', '.', 'N', 'E', 'C'], ['O', 'K', 'A', 'P', 'I']]
[['H', 'A', 'N', 'O', 'I'], ['E', 'C', 'A', 'R', 'D'], ['.', 'U', 'B', 'I', '.'], ['O', 'M', 'I', 'N', 'O'], ['P', 'E', 'S', 'A', 'H']]
[['G', 'L', 'A', 'S', 'S'], ['O', '.', 'I', 'C', 'E'], ['B', 'L', 'O', 'I', 'S'], ['B', 'E', 'N', '.', 'T'], ['E', 'D', 'E', 'M', 'I']]
[['B', 'R', 'U', 'M', 'E'], ['R', 'A', 'M', 'O', 'S'], ['A', 'W', '.', 'D', 'O'], ['C', 'L', 'A', 'E', 'S'], ['I', 'S', 'T', 'M', 'I']]
[['E', 'R', 'W', 'I', 'N'], ['L', 'E', 'A', 'D', '.'], ['I', 'N', 'F', 'R', 'A'], ['.', 'N', 'E', 'I', 'L'], ['C', 'A', 'R', 'E', 'L']]
[['A', '.', 'R', 'T', 'L'], ['N', 'A', 'H', 'U', 'A'], ['A', 'L', 'E', 'R', 'T'], ['P', 'E', 'T', 'I', 'T'], ['O', 'C', 'T', '.', 'E']]
[['A', 'S', 'S', 'I', 'A'], ['R', 'U', 'T', 'A', '.'], ['F', 'I', 'A', 'L', 'E'], ['.', 'T', 'R', 'E', 'S'], ['D', 'E', 'S', 'A', 'I']]
[['T', 'W', 'E', 'E', 'D'], ['M', 'U', 'T', 'U', 'A'], ['E', '.', 'A', '.', 'N'], ['S', 'O', 'N', 'D', 'A'], ['I', 'O', 'I', 'D', 'E']]
[['E', 'G', 'I', 'D', 'E'], ['S', 'P', 'A', 'Z', 'I'], ['T', '.', 'R', '.', 'L'], ['E', 'S', 'D', 'R', 'A'], ['R', 'H', 'E', 'T', 'T']]
[['D', 'R', 'O', 'M', 'O'], ['V', 'E', 'G', 'A', '.'], ['I', 'G', 'L', 'O', 'O'], ['.', 'E', 'I', 'N', 'E'], ['B', 'R', 'O', 'A', 'D']]
[['O', 'R', 'Z', 'O', '.'], ['M', 'A', 'O', 'R', 'I'], ['E', 'M', 'P', 'I', 'E'], ['I', 'P', 'P', 'O', 'N'], ['.', 'E', 'I', 'N', 'E']]
[['S', 'E', 'R', 'P', 'I'], ['E', 'M', '.', 'E', 'R'], ['D', 'A', 'N', 'A', 'O'], ['I', 'I', '.', 'R', 'S'], ['E', 'L', 'I', 'S', 'I']]
[['F', 'A', 'S', 'C', 'E'], ['.', 'A', 'T', 'O', 'S'], ['D', 'R', 'U', 'P', 'E'], ['D', 'A', 'R', 'T', '.'], ['R', 'U', 'M', 'O', 'R']]
[['.', 'M', 'O', 'P', 'S'], ['S', 'O', 'S', 'I', 'A'], ['O', 'S', 'S', 'E', 'I'], ['L', 'E', 'E', 'D', 'S'], ['A', 'L', 'E', 'E', '.']]
[['O', 'K', 'A', 'P', 'I'], ['.', 'E', 'L', 'I', 'O'], ['O', 'M', 'I', 'N', 'I'], ['R', 'A', 'S', 'I', '.'], ['B', 'L', 'A', 'N', 'K']]
[['E', 'C', 'U', 'B', 'A'], ['R', 'E', 'V', 'A', 'L'], ['B', 'N', '.', 'L', 'B'], ['I', 'N', 'I', 'Z', 'I'], ['O', 'I', 'D', 'I', 'O']]
[['O', 'S', 'S', 'E', 'E'], ['Z', 'I', 'T', '.', 'R'], ['O', 'C', 'R', 'E', 'A'], ['N', '.', 'I', 'P', 'S'], ['O', 'P', 'P', 'I', 'O']]
[['M', 'E', 'N', 'T', 'A'], ['.', 'M', 'E', 'R', 'I'], ['L', 'A', 'V', 'A', 'L'], ['R', 'I', 'A', 'N', '.'], ['E', 'L', 'I', 'S', 'O']]
[['V', 'G', '.', 'N', 'T'], ['E', 'I', 'D', 'E', 'R'], ['T', 'O', 'L', 'T', 'A'], ['R', 'I', 'T', 'T', 'I'], ['I', 'A', '.', 'A', 'N']]
[['S', 'C', 'A', 'P', 'O'], ['U', 'C', 'K', '.', 'B'], ['N', 'E', 'I', 'L', 'L'], ['T', '.', 'R', 'I', 'I'], ['O', 'R', 'A', 'N', 'O']]
[['O', 'C', 'R', 'E', 'A'], ['S', 'O', 'P', 'R', 'A'], ['C', 'E', '.', 'B', 'R'], ['A', 'S', 'P', 'I', 'O'], ['R', 'E', 'D', 'O', 'N']]
[['.', 'I', 'D', 'E', 'E'], ['U', 'M', 'O', 'R', 'I'], ['M', 'A', 'R', 'I', 'N'], ['O', 'N', 'I', 'C', 'E'], ['R', 'O', 'S', 'A', '.']]
[['S', '.', 'C', 'A', 'S'], ['T', 'E', 'R', 'Z', 'I'], ['I', 'R', 'E', 'O', 'S'], ['G', 'I', 'A', 'V', 'A'], ['I', 'E', 'M', '.', 'L']]
[['Z', 'E', 'P', 'P', 'E'], ['A', 'L', 'A', 'I', '.'], ['R', 'I', 'S', 'S', 'A'], ['.', 'C', 'I', 'T', 'A'], ['R', 'A', 'G', 'A', 'S']]
[['S', 'I', 'S', 'M', 'A'], ['.', 'D', 'I', 'O', 'N'], ['M', 'A', 'L', 'L', 'E'], ['C', 'H', 'A', 'O', '.'], ['M', 'O', 'S', 'C', 'I']]
[['S', 'T', 'A', 'R', 'T'], ['E', 'F', 'E', 'B', 'I'], ['R', '.', 'R', '.', 'A'], ['A', 'Y', 'E', 'R', 'S'], ['O', 'C', 'I', 'M', 'O']]
[['A', 'B', 'A', 'C', 'O'], ['.', 'I', 'N', 'I', 'A'], ['C', 'H', 'I', 'P', 'S'], ['V', 'A', 'M', 'P', '.'], ['D', 'R', 'O', 'I', 'T']]
[['N', 'I', 'L', 'O', '.'], ['A', 'R', 'A', 'T', 'I'], ['T', 'I', 'B', 'E', 'R'], ['O', 'D', 'O', 'R', 'I'], ['.', 'E', 'R', 'O', 'S']]
[['.', 'S', 'A', 'L', 'K'], ['L', 'I', 'N', 'E', 'A'], ['U', 'N', 'Z', 'I', 'P'], ['L', 'A', 'I', 'D', 'O'], ['A', 'N', 'O', 'A', '.']]
[['R', 'I', 'G', 'A', '.'], ['E', 'S', 'I', 'L', 'I'], ['I', 'S', 'O', 'L', 'E'], ['S', 'U', 'G', 'A', 'R'], ['.', 'E', 'O', 'N', 'I']]
[['O', 'R', 'I', 'B', 'I'], ['R', '.', 'R', 'S', 'A'], ['G', 'A', 'B', 'E', 'L'], ['I', 'L', 'I', '.', 'E'], ['A', 'S', 'S', 'I', 'A']]
[['C', 'L', 'O', 'R', 'O'], ['M', 'I', 'C', 'O', '.'], ['G', 'N', 'O', 'M', 'E'], ['.', 'E', 'N', 'A', 'L'], ['G', 'E', 'E', 'N', 'A']]
[['L', '.', 'L', 'U', 'X'], ['A', 'V', 'E', 'R', 'E'], ['C', 'A', 'L', 'A', 'R'], ['E', 'L', 'I', 'S', 'E'], ['R', 'E', 'O', '.', 'S']]
[['A', 'M', 'A', 'C', 'A'], ['.', 'I', 'R', 'O', 'N'], ['A', 'N', 'G', 'L', 'I'], ['H', 'O', 'O', 'P', '.'], ['I', 'S', 'T', 'A', 'T']]
[['C', 'E', 'R', 'E', 'A'], ['E', '.', 'A', 'R', 'G'], ['S', 'P', 'I', 'G', 'A'], ['P', 'U', 'S', '.', 'M'], ['I', 'R', 'I', 'T', 'I']]
[['E', 'T', 'I', 'M', 'I'], ['R', 'E', 'H', 'A', 'B'], ['N', 'P', '.', 'T', 'I'], ['S', 'P', 'I', 'T', 'Z'], ['T', 'E', 'N', 'I', 'A']]
[['F', '.', 'M', 'R', 'I'], ['A', 'D', 'O', 'U', 'R'], ['C', 'O', 'R', 'D', 'A'], ['T', 'W', 'E', 'E', 'T'], ['A', 'N', 'A', '.', 'E']]
[['K', 'A', '.', 'S', 'S'], ['A', 'D', 'I', 'T', 'O'], ['R', 'I', 'G', 'O', 'R'], ['E', 'T', 'E', 'R', 'E'], ['L', 'I', '.', 'Y', 'L']]
[['G', 'M', '.', 'V', 'C'], ['I', 'U', 'L', 'I', 'O'], ['O', 'R', 'D', 'R', 'E'], ['V', 'A', 'R', 'A', 'S'], ['E', 'T', '.', 'L', 'E']]
[['.', 'H', 'E', 'S', 'S'], ['T', 'A', 'P', 'P', 'I'], ['O', 'R', 'S', 'O', 'N'], ['P', 'R', 'O', 'R', 'E'], ['A', 'Y', 'M', 'E', '.']]
[['B', '.', 'P', 'O', 'F'], ['A', 'N', 'I', 'M', 'A'], ['B', 'O', 'R', 'A', 'S'], ['A', 'U', 'R', 'I', 'C'], ['U', 'S', 'O', '.', 'E']]
[['N', 'I', 'C', 'O', 'L'], ['O', '.', 'E', 'M', 'E'], ['M', 'O', 'R', 'S', 'A'], ['E', 'N', 'E', '.', 'L'], ['N', 'U', 'O', 'V', 'I']]
[['E', 'R', 'E', 'D', 'E'], ['U', 'S', 'B', '.', 'T'], ['B', 'U', 'R', 'R', 'I'], ['E', '.', 'E', 'P', 'L'], ['A', 'N', 'I', 'M', 'I']]
[['E', 'R', 'N', 'I', 'E'], ['V', 'U', '.', 'T', 'N'], ['A', 'S', 'E', 'A', 'N'], ['S', 'S', '.', 'M', 'I'], ['O', 'I', 'D', 'I', 'O']]
[['A', 'I', 'D', 'I', 'D'], ['X', 'A', 'N', 'T', 'O'], ['.', 'L', 'E', 'A', '.'], ['P', 'E', 'P', 'L', 'O'], ['M', 'A', 'R', 'A', 'S']]
[['P', 'I', 'V', 'A', '.'], ['L', 'A', 'I', 'L', 'A'], ['O', 'L', 'S', 'E', 'N'], ['T', 'E', 'T', 'R', 'O'], ['.', 'A', 'E', 'T', 'A']]
[['E', 'B', 'B', 'R', 'E'], ['I', 'U', 'L', 'I', 'O'], ['L', '.', 'A', '.', 'L'], ['A', 'V', 'I', 'D', 'I'], ['T', 'O', 'R', 'T', 'A']]
[['P', 'I', 'Z', 'I', 'A'], ['A', 'F', 'O', 'N', 'I'], ['L', '.', 'P', '.', 'U'], ['I', 'N', 'P', 'U', 'T'], ['O', 'T', 'I', 'T', 'I']]
[['L', 'I', 'S', 'C', 'A'], ['O', 'S', '.', 'O', 'T'], ['U', 'T', 'I', 'L', 'E'], ['I', 'A', '.', 'T', 'N'], ['S', 'T', 'R', 'I', 'E']]
[['O', '.', 'A', 'S', 'H'], ['C', 'O', 'L', 'T', 'O'], ['C', 'I', 'V', 'E', 'T'], ['A', 'T', 'E', 'N', 'E'], ['M', 'A', 'S', '.', 'L']]
[['E', 'S', 'C', 'H', 'E'], ['.', 'A', 'R', 'A', 'D'], ['E', 'T', 'A', 'N', 'O'], ['T', 'A', 'X', 'I', '.'], ['S', 'N', 'I', 'F', 'F']]
[['E', 'I', 'R', 'E', '.'], ['O', 'S', 'I', 'M', 'O'], ['N', 'I', 'G', 'E', 'L'], ['E', 'D', 'E', 'R', 'A'], ['.', 'E', 'L', 'I', 'O']]
[['S', 'O', 'C', 'H', 'I'], ['T', '.', 'R', 'U', 'E'], ['A', 'M', 'I', 'E', 'L'], ['M', 'L', 'N', '.', 'L'], ['P', 'I', 'E', 'N', 'A']]
[['.', 'M', 'I', 'L', 'O'], ['S', 'A', 'M', 'A', 'R'], ['P', 'R', 'A', 'T', 'T'], ['O', 'R', 'G', 'I', 'A'], ['T', 'E', 'E', 'N', '.']]
[['E', '.', 'I', 'C', 'S'], ['D', 'I', 'R', 'E', 'I'], ['E', 'B', 'B', 'R', 'E'], ['R', 'A', 'I', 'O', 'N'], ['E', 'N', 'S', '.', 'A']]
[['M', 'E', 'T', 'R', 'I'], ['.', 'L', 'E', 'O', 'N'], ['T', 'I', 'N', 'T', 'O'], ['L', 'O', 'D', 'O', '.'], ['E', 'T', 'E', 'R', 'E']]
[['.', 'R', 'O', 'I', 'A'], ['C', 'O', 'L', 'O', 'N'], ['E', 'M', 'I', 'R', 'O'], ['C', 'A', 'V', 'I', 'A'], ['E', 'N', 'E', 'O', '.']]
[['V', 'I', 'T', 'U', 'S'], ['E', 'D', 'A', 'M', '.'], ['R', 'O', 'B', 'O', 'T'], ['.', 'L', 'O', 'R', 'O'], ['M', 'O', 'R', 'I', 'N']]
[['K', 'Y', 'O', 'T', 'O'], ['L', 'U', 'N', 'A', 'R'], ['I', 'K', '.', 'U', 'A'], ['N', 'I', 'O', 'R', 'T'], ['E', 'O', 'L', 'I', 'A']]
[['D', 'F', '.', 'V', 'I'], ['O', 'A', 'S', 'I', 'S'], ['L', 'L', 'E', 'R', 'A'], ['C', 'L', 'O', 'N', 'I'], ['I', 'I', '.', 'A', 'A']]
[['B', 'C', 'E', '.', 'R'], ['A', 'I', 'M', 'E', 'E'], ['S', 'M', 'I', 'T', 'H'], ['S', 'E', 'R', 'R', 'A'], ['O', '.', 'I', 'I', 'B']]
[['S', 'A', 'M', 'O', 'A'], ['O', '.', 'I', 'N', 'G'], ['C', 'A', 'N', 'O', 'E'], ['I', 'R', 'I', '.', 'N'], ['A', 'T', 'O', 'U', 'T']]
[['F', 'I', 'A', 'B', 'E'], ['L', 'A', 'B', 'O', 'R'], ['.', 'R', 'R', 'R', '.'], ['A', 'D', 'A', 'R', 'E'], ['H', 'A', 'M', 'A', 'S']]
[['E', '.', 'M', 'C', 'O'], ['S', 'T', 'A', 'R', 'R'], ['P', 'A', 'S', 'I', 'G'], ['O', 'S', 'S', 'E', 'I'], ['O', 'S', 'I', '.', 'E']]
[['Y', 'A', 'N', 'E', 'Z'], ['A', 'C', 'A', 'B', '.'], ['K', 'H', 'M', 'E', 'R'], ['.', 'E', 'U', 'R', 'E'], ['M', 'I', 'R', 'T', 'O']]
[['L', 'O', 'G', '.', 'B'], ['E', 'N', 'N', 'I', 'O'], ['E', 'D', 'O', 'N', 'I'], ['D', 'A', 'M', 'O', 'N'], ['S', '.', 'E', 'X', 'E']]
[['S', 'T', 'I', 'P', 'A'], ['T', 'U', '.', 'I', 'D'], ['A', 'L', 'O', 'N', 'I'], ['S', 'L', '.', 'O', 'P'], ['I', 'O', 'T', 'T', 'I']]
[['.', 'T', 'E', 'M', 'I'], ['A', 'I', 'R', 'E', 'S'], ['S', 'T', 'I', 'L', 'B'], ['M', 'A', 'C', 'O', 'N'], ['A', 'N', 'A', 'S', '.']]
[['.', 'N', 'A', 'M', 'E'], ['Z', 'E', 'L', 'I', 'G'], ['A', 'V', 'O', 'L', 'A'], ['M', 'A', 'S', 'O', 'N'], ['A', 'I', 'A', 'S', '.']]
[['P', 'C', '.', 'D', 'P'], ['R', 'A', 'D', 'A', 'R'], ['O', 'R', 'A', 'F', 'A'], ['R', 'A', 'G', 'N', 'I'], ['A', 'S', '.', 'E', 'A']]
[['T', 'O', 'T', 'E', 'M'], ['.', 'S', 'I', 'L', 'A'], ['I', 'T', 'A', 'L', 'Y'], ['T', 'I', 'R', 'I', '.'], ['P', 'A', 'E', 'S', 'E']]
[['.', 'E', 'C', 'H', 'I'], ['S', 'B', 'O', 'O', 'M'], ['P', 'O', 'R', 'T', 'E'], ['E', 'L', 'S', 'E', 'R'], ['C', 'I', 'E', 'L', '.']]
[['C', 'O', 'V', 'E', 'R'], ['O', 'T', 'O', 'N', 'E'], ['L', 'A', '.', 'O', 'G'], ['T', 'R', 'I', 'N', 'E'], ['E', 'U', 'L', 'E', 'R']]
[['.', 'L', 'E', 'N', 'O'], ['T', 'A', 'T', 'U', 'M'], ['O', 'D', 'E', 'O', 'N'], ['C', 'E', 'R', 'R', 'I'], ['E', 'N', 'I', 'O', '.']]
[['S', 'T', 'E', 'I', 'N'], ['T', 'I', 'R', '.', 'U'], ['U', 'M', 'B', 'R', 'O'], ['R', '.', 'I', 'A', 'R'], ['A', 'N', 'O', 'D', 'O']]
[['T', 'I', 'P', 'A', '.'], ['A', 'T', 'O', 'N', 'I'], ['B', 'A', 'S', 'T', 'O'], ['E', 'L', 'T', 'O', 'N'], ['.', 'E', 'O', 'N', 'I']]
[['R', 'A', 'S', 'P', 'I'], ['I', 'R', 'T', 'I', '.'], ['T', 'R', 'U', 'C', 'I'], ['.', 'A', 'R', 'C', 'O'], ['O', 'S', 'M', 'A', 'N']]
[['A', 'D', 'P', '.', 'B'], ['C', 'I', 'R', 'I', 'O'], ['O', 'V', 'I', 'N', 'O'], ['R', 'I', 'N', 'D', 'T'], ['O', '.', 'Z', 'O', 'E']]
[['Q', 'A', 'E', 'D', 'A'], ['C', 'O', 'B', 'A', 'S'], ['.', 'N', 'R', 'N', '.'], ['P', 'I', 'E', 'N', 'A'], ['R', 'A', 'I', 'O', 'N']]
[['H', 'A', 'Y', 'D', 'N'], ['E', 'S', 'A', 'N', 'O'], ['.', 'C', 'H', 'E', '.'], ['M', 'I', 'O', 'P', 'I'], ['M', 'A', 'O', 'R', 'I']]
[['E', 'N', 'S', 'O', 'R'], ['D', 'A', 'V', '.', 'A'], ['S', 'O', 'A', 'V', 'E'], ['O', '.', 'G', 'O', 'L'], ['N', 'U', 'O', 'V', 'I']]
[['.', 'P', 'E', 'C', 'S'], ['D', 'A', 'L', 'L', 'A'], ['O', 'R', 'L', 'O', 'V'], ['O', 'M', 'I', 'N', 'I'], ['R', 'A', 'S', 'E', '.']]
[['S', 'K', 'O', 'D', 'A'], ['A', 'A', 'R', 'A', 'U'], ['M', 'P', '.', 'K', 'G'], ['S', 'O', 'L', 'A', 'I'], ['A', 'K', 'I', 'R', 'A']]
[['N', '.', 'P', 'R', 'A'], ['A', 'B', 'I', 'E', 'S'], ['P', 'A', 'E', 'S', 'I'], ['E', 'R', 'R', 'O', 'L'], ['E', 'O', 'O', '.', 'I']]
[['S', 'T', 'A', 'S', 'I'], ['.', 'O', 'I', 'T', 'A'], ['S', 'T', 'A', 'R', 'R'], ['P', 'I', 'C', 'I', '.'], ['S', 'P', 'E', 'E', 'R']]
[['T', 'I', 'G', 'R', 'I'], ['C', 'O', 'R', 'O', '.'], ['I', 'D', 'A', 'H', 'O'], ['.', 'I', 'T', 'A', 'L'], ['B', 'O', 'O', 'N', 'E']]
[['F', 'L', 'I', 'C', '.'], ['L', 'U', 'R', 'I', 'A'], ['O', 'M', 'A', 'R', 'I'], ['P', 'E', 'D', 'R', 'O'], ['.', 'N', 'E', 'O', 'N']]
[['T', 'E', 'R', 'I', 'M'], ['R', 'V', '.', 'C', 'I'], ['A', 'A', 'R', 'O', 'N'], ['M', 'N', '.', 'N', 'A'], ['P', 'S', 'O', 'A', 'S']]
[['R', 'I', 'S', 'M', 'A'], ['M', 'O', 'T', 'A', '.'], ['I', 'T', 'A', 'L', 'A'], ['.', 'T', 'R', 'I', 'P'], ['S', 'I', 'T', 'A', 'R']]
[['A', '.', 'N', 'D', 'T'], ['G', 'R', 'O', 'O', 'M'], ['I', 'A', 'R', 'D', 'E'], ['L', 'A', 'G', 'O', 'S'], ['E', 'B', 'E', '.', 'I']]
[['M', 'E', 'S', 'I', 'A'], ['A', 'L', 'G', 'H', 'E'], ['S', '.', 'E', '.', 'R'], ['S', 'A', 'L', 'D', 'E'], ['O', 'D', 'O', 'R', 'E']]
[['A', 'C', 'E', 'T', 'O'], ['G', 'B', 'M', '.', 'N'], ['A', 'S', 'I', 'L', 'I'], ['T', '.', 'R', 'E', 'C'], ['A', 'D', 'O', 'N', 'I']]
[['A', 'N', 'C', '.', 'C'], ['R', 'A', 'L', 'P', 'H'], ['O', 'V', 'I', 'L', 'E'], ['M', 'A', 'F', 'I', 'A'], ['A', '.', 'T', 'E', 'P']]
[['T', 'H', 'E', 'M', 'A'], ['E', '.', 'B', 'O', 'T'], ['N', 'I', 'B', 'B', 'I'], ['U', 'E', 'R', '.', 'N'], ['E', 'D', 'E', 'R', 'A']]
